»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	10/8/2025 - 16:36:12
Configured:	10/08/25 04:22:59 PM
Executed:	10/08/25 04:35:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Int. Ref. Ferroelectric
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-8
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	5.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	1001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
  50	2.4500e-02	1.9812	-67.901996	-0.000091	-0.905309	-0.306727	-0.007282
  51	2.5000e-02	2.0053	-67.792770	0.000272	2.715927	0.920181	0.021845
  52	2.5500e-02	2.0454	-67.501502	0.000724	7.242473	2.453816	0.058254
  53	2.6000e-02	2.1080	-67.537910	-0.000091	-0.905309	-0.306727	-0.007282
  54	2.6500e-02	2.1368	-67.319459	0.000543	5.431855	1.840362	0.043690
  55	2.7000e-02	2.1850	-67.028190	0.000724	7.242473	2.453816	0.058254
  56	2.7500e-02	2.2187	-67.392276	-0.000905	-9.053092	-3.067270	-0.072817
  57	2.8000e-02	2.2491	-66.918964	0.001177	11.769019	3.987452	0.094662
  58	2.8500e-02	2.2876	-66.955373	-0.000091	-0.905309	-0.306727	-0.007282
  59	2.9000e-02	2.3326	-66.591287	0.000905	9.053092	3.067270	0.072817
  60	2.9500e-02	2.3566	-66.336427	0.000634	6.337164	2.147089	0.050972
  61	3.0000e-02	2.4015	-66.190793	0.000362	3.621237	1.226908	0.029127
  62	3.0500e-02	2.4449	-66.482062	-0.000724	-7.242473	-2.453816	-0.058254
  63	3.1000e-02	2.5074	-66.008750	0.001177	11.769019	3.987452	0.094662
  64	3.1500e-02	2.5395	-66.263610	-0.000634	-6.337164	-2.147089	-0.050972
  65	3.2000e-02	2.5700	-65.681073	0.001448	14.484946	4.907633	0.116507
  66	3.2500e-02	2.6229	-65.753890	-0.000181	-1.810618	-0.613454	-0.014563
  67	3.3000e-02	2.6325	-65.389804	0.000905	9.053092	3.067270	0.072817
  68	3.3500e-02	2.6791	-65.863116	-0.001177	-11.769019	-3.987452	-0.094662
  69	3.4000e-02	2.7256	-65.025718	0.002082	20.822110	7.054722	0.167479
  70	3.4500e-02	2.7513	-65.717481	-0.001720	-17.200874	-5.827814	-0.138353
  71	3.5000e-02	2.8122	-65.025718	0.001720	17.200874	5.827814	0.138353
  72	3.5500e-02	2.8443	-64.989310	0.000091	0.905309	0.306727	0.007282
  73	3.6000e-02	2.9037	-64.698041	0.000724	7.242473	2.453816	0.058254
